usage_id,tour_id,tellnumber,homepage_url,hldy_info,handicapped_area,usage_dayandtime,usage_amount,rprsntv_menu,trfc_info,etc_info,,,,,,,
,52,051-631-0858,http://www.tongsinsa.com/html/,"매주 월요일, 1월1일","점자블록(출입구), 휠체어 출입가능, 엘리베이터, 장애인전용화장실",09:00~18:00,,,"도시철도 1호선 범일역 2번 출구 도보 12분
버스 26, 41, 139, 80, 42, 1003 자성대 하차 도보 2분
     22, 23, 27, 40, 41, 63, 83, 101, 108, 134, 138 부산진시장 하차 도보 5분",,,,,,,,
,53,051-553-4944,http://sea.busan.go.kr,"매주 월요일, 1월 1일","시각장애인관, 점자블록, 휠체어 대여가능, 장애인 엘리베이터, 장애인 화장실, 장애인 주차장(금강공원 공영주차장, 유료)",화~일 09:00~18:00(입장마감 17:00까지),,,"도시철도 1호선 동래역 4번 출구 마을버스 1-1번 환승 해양자연사박물관 하차
금강공원 공영주차장 이용(유료)",,,,,,,,
,54,051-253-3845,https://museum.busan.go.kr/modern/index,"1월 1일, 매주 월요일","휠체어 출입 가능, 장애인 화장실(3층), 엘리베이터, 안내견 동반 가능",화~일 / 09:00-18:00(17:00이후 입장불가),,,"도시철도 1호선 중앙역 5번 출구 도보 7분
버스 40, 81 국제시장 부산근대역사관 하차
버스 15, 86, 126, 186 국제시장 하차",,,,,,,,
,55,부산종합관광안내소 051-253-8253,http://www.bosubook.com/,"정기휴일(첫째,셋째주 화요일,신정,구정,추석)",휠체어 접근 가능(골목이 좁아 불편할 수 있음),가게별 상이(20:00 전후 업무 종료),,,"도시철도 1호선 자갈치역 3번 출구 도보 11분
버스 40, 81 보수동책방골목 하차
버스 103, 11, 113, 8, 96 부평시장 하차",,,,,,,,
,56,051-244-6345,http://museum.busan.go.kr/monument/index,"1월 1일, 매주 월요일","장애인 주차장, 장애인 화장실, 휠체어 무료 대여, 안내견 동반 가능, 휠체어 출입 가능(전시관)",화~일 / 09:00~18:00,,,"도시철도 1호선 토성역 2번 출구 도보 6분
버스 15, 40, 81 영락교회 하차
마을버스 서구3, 서구3-1 부민이편한세상아파트 하차",,,,,,,,
,57,051-200-8493,http://museum.donga.ac.kr/,"매주 월요일, 개교기념일, 법정공휴일","장애인 주차장, 장애인 화장실, 장애인전용 엘리베이터, 점자블록, 음성안내기, 휠체어 무료대여, 점자안내판(큰 활자 홍보물)",화~일/09:30 ~ 17:00 (입장 16:30),,,"도시철도 1호선 토성역 2번 출구 도보 10분
버스  15,16, 40, 70, 81, 123, 126, 161, 190 동아대부민캠퍼스 하차
주차 동아대학교 부민동캠퍼스 지하 주차장(유료)",,,,,,,,
,58,051-629-8600,https://www.fomo.or.kr/museum/kor/Main.do,"매주 월요일, 1월 1일, 명절 당일","장애인용 화장실, 장애인 주차장, 장애인전용 엘리베이터, 휠체어 리프트, 휠체어통행 가능, 휠체어 무료대여, 점자블록, 전시음성안내, 안내견 동반 가능",화~일/09:30 ~ 17:30(17:00 이후 입장불가),,,"도시철도 2호선 못골역 1번 출구 → 마을버스 남구9 환승 → 국립일제강제동원역사관 하차
버스 134 석포초등학교 하차, 도보 10분
마을버스 남구9 ? 유엔평화기념관?국립일제강제동원역사관 하차",,,,,,,,
,59,051-610-7111 ,http://museum.busan.go.kr/busan,"매주 월요일, 1월 1일","장애인 주차장, 장애인 화장실, 장애인전용 엘리베이터, 자동안내 모바일앱(수화영상안내), 한국어 음성가이드기, 휠체어 무료 대여, 휠체어 접근 가능, 안내견 동반 가능",09:00~18:00,,,"도시철도 2호선 대연역 1번 출구 도보 12분
버스 134, 51, 68, 138, 138-1, 1006 시립박물관?부산문화회관 하차
부산시티투어버스 : 부산역(레드라인) → 부산박물관 하차
주차 박물관 내 주차장(무료)",,,,,,,,
,60,"유엔기념공원 051-625-0625
유엔평화기념관 051-901-1400",http://unmck.or.kr,"유엔기념공원 연중무휴
유엔평화기념관 매주 월요일","유엔기념공원
장애인 주차장, 장애인 화장실, 휠체어 대여, 휠체어 접근 가능
유엔평화기념관
점자블록, 장애인전용 엘리베이터, 장애인 주차장, 장애인 화장실, 휠체어 무료 대여, 휠체어 접근 가능","유엔기념공원 09:00~18:00(동절기 17:00 이후 입장불가)
유엔평화기념관 10:00~18:00",,,"유엔기념공원
도시철도 2호선 대연역 3번 출구 도보 18분
버스 134, 68, 138, 138-1, 1006 유엔공원?부산문화회관 하차
부산시티투어버스 : 부산역(레드라인) → 유엔기념공원 하차
유엔평화기념관
버스 134, 68, 51 석포초 하차 도보 7분",,,,,,,,
,61,051-607-6395,https://www.bsnamgu.go.kr/index.namgu?menuCd=DOM_000000601006001000&cpath=menuCd=DOM_000000601006001000&cpath=,,"장애인 주차장, 장애인 화장실, 휠체어 접근 가능",,,,"도시철도 2호선 경성대?부경대역 → 버스 24, 27, 131, 남구2 환승 → 오륙도 SK아파트 하차
부산시티투어버스 : 부산역(레드라인) → 용호만 유람선터미널(그린라인 환승) → 오륙도 하차",,,,,,,,
,62,,,연중무휴,장애인주차장,상시,,,"도시철도 2호선 경성대?부경대 → 20, 22, 24, 27, 39, 131 버스환승 → 백운포고개 하차
주차장 신선대 유원지 주차장(무료)",,,,,,,,
,63,051-749-5800,http://www.haeundae.go.kr/tour/index.do?menuCd=DOM_000000302002001000,연중무휴,"장애인 화장실, 장애인 주차구역, 휠체어접근 가능, 점자블록(화장실 입구 앞)",상시,,,"도시철도 2호선 해운대역 하차 → 해운대 정류장 139, 182, 200, 38, 39, 40, 63, 1001, 1003, 1011 버스 환승 → 송정해수욕장 입구 하차 도보 12분
동해선 송정역 하차 도보 17분
버스 100, 100-1, 139, 141, 181, 182, 185, 200, 38, 39, 40, 63 송정1단지주공 하차",,,,,,,,
,64,이터널저니 051-604-7222,https://theananti.com/kr/cove/eternal.asp,,"장애인 화장실, 장애인 주차, 장애인전용엘리베이터, 점자블록, 휠체어접근가능","월~금 10:00~21:00
토, 일(공휴일) 09:00~21:00",,,"동해선 오시리아역 하차 → 139, 181, 100 버스 환승  → 동암후문 하차
주차 힐튼부산 주차장",,,,,,,,
,65,"오륙도 스카이워크 051-607-6395
송도 구름산책로 051-240-4081
청사포 다릿돌 전망대 051-749-5720",,"연중무휴(눈, 비, 강풍 및 시설 개·보수 시 개방 제한)","오륙도 스카이워크
장애인 주차구역, 장애인 화장실, 휠체어접근 가능(스카이워크 입구까지)
송도구름산책로
장애인 주차구역, 장애인 화장실, 구름산책로 휠체어 진입가능(거북섬까지)
청사포 다릿돌 전망대
장애인 주차구역","오륙도 스카이워크 
09:00~18:00(입장마감 17:50)
송도 구름산책로
06:00~23:00
청사포 다릿돌전망대
09:00~18:00 (하절기 6~8월 20:00)",,,"오륙도 스카이워크 
도시철도 2호선 경성대·부경대역 5번 출구 → 131, 24, 27 버스 환승 → 오륙도 스카이워크 하차
부산시티투어버스 그린라인 오륙도 하차
주차장 공영주차장

송도 구름산책로
도시철도 1호선 자갈치역 2번 출구 → 26, 30, 7, 71, 96 버스 환승 → 송도해수욕장 하차주차장 공영주차장

청사포 다릿돌전망대
도시철도 2호선 해운대역 1번 출구 →  2 마을버스 환승
부산시티투어버스 블루라인 청사포 하차
주차장 공영주차장",,,,,,,,
,66,051-610-4742,,연중무휴,"장애인 주차구역, 장애인 화장실, 점자블록, 산책로 휠체어 접근 가능",상시,,,"도시철도 2호선 광안역 3번 출구 도보 20분
버스 41, 83-1, 210 민락수변공원 하차
주차 인근공영주차장",,,,,,,,
,67,051-240-4000,,연중무휴,"장애인 화장실, 장애인 주차구역, 점자블록, 휠체어 접근 가능, 송도해상케이블카 휠체어탑승 가능, 점자안내판",06:00 - 23:00,,,"도시철도 1호선 자갈치역 7번 출구 → 96, 26, 30, 7, 71 버스 환승 → 송도해수욕장 하차 도보 3분
부산시티투어버스 부산역(점보버스) → 송도해수욕장 하차
주차 송도해수욕장 공영주차장(유료)",,,,,,,,
,68,051-265-6863,busan.go.kr/wetland/amisanintro01,"1월 1일, 월요일","장애인 주차구역, 엘리베이터, 휠체어접근 가능",화~일 / 09:00 ~ 18:00,,,"도시철도 1호선 다대포항역 1번 출구 → 사하구15 마을버스 환승 → 몰운대성당 하차 도보2분
주차 아미산전망대 공영주차장(무료)",,,,,,,,
,69,,,연중무휴,,상시,,,"도시철도 1호선 토성역 8번 출구 도보 15분
마을버스 사하구1-1 서구2 산상교회(비석문화마을) 하차
주차 아미골 공영주차장",,,,,,,,
,70,051-744-2602,http://art.busan.go.kr,"1월 1일, 매주 월요일","점자블록, 장애인전용 엘리베이터, 장애인 주차장, 장애인 화장실, 휠체어 대여","본관 화?수?목?일 10:00~18:00, 금?토 10:00~21:00
이우환 공간(별관) 화요일~일요일 10:00~18:00",,,"도시철도 2호선 벡스코(시립미술관)역 5번 출구
주차 09:00~19:00 유료",,,,,,,,
,71,,,연중무휴,휠체어 접근 가능,상시,,,"버스 100, 139, 181 해광사 하차 → 도보 4분
주차 오랑대공원 주차장",,,,,,,,
,72,051-720-3061~6,https://www.fsm.go.kr/ ,"매주 월요일, 설날?추석연휴","장애인 주차장, 장애인 화장실, 휠체어 무료대여, 경사로 설치",화~일 09:00~18:00,,,"동해선 오시리아역 하차 → 버스 139 환승 국립수산과학관 하차
버스 100, 139, 181 국립수산과학관 하차
부산시티투어버스 블루라인(해운대) → 국립수산과학관 하차
주차 국립수산과학관 주차장(무료)",,,,,,,,
,73,051-515-1655,http://www.yosan.co.kr/main/index.html,"월요일, 국경일","점자블록, 휠체어 접근 가능",화~일 10:00~17:00,,,"도시철도 1호선 범어사역 1번 출구 도보 12분
버스 29, 51, 80 남산동 하차",,,,,,,,
,74,051-556-0527,,"월요일, 1월1일, 명절연휴, 임시공휴일",,화~일 10:00~17:00,,,"도시철도 4호선 낙민역 1번 출구 도보 4분
버스 100, 110-1, 129-1, 144, 148, 200, 210, 29, 31, 43, 44, 49, 57 동래시장 하차",,,,,,,,
,75,051-550-6633,,"월요일, 1월 1일, 설?추석 연휴","장애인 주차장, 경사로 출입구 있음",화~일 09:00~18:00,,,"도시철도 3호선/4호선 미남역 14번 출구 도보 11분
도시철도 1호선 명륜역 1번 출구 도보 16분
버스 80, 동래구1-1, 동래구3 우장춘기념관 하차",,,,,,,,
,76,,,연중무휴,휠체어접근 가능,상시,,,"도시철도 1호선 자갈치역 1번 출구 도보 17분
버스 16, 17, 161, 61, 7, 9 남부민시장입구 하차 도보 8분
주차 누리바라기전망대 주차장",,,,,,,,
,77,051-240-4495,,월요일,,10:00~19:00,,,"도시철도 1호선 토성역 8번 출구 도보 9분
버스 134, 190 아미치안센터 하차 도보 3분
마을버스 서구2 아미초등학교 하차 도보 2분
주차 아미골 공영주차장(유료)",,,,,,,,
,78,051-752-2947,http://www.suyeongminsok.or.kr,연중무휴,"장애인 주차구역, 장애인 화장실, 휠체어 접근 가능",상시,,,"도시철도 2, 3호선 수영역 1번 출구 도보 9분
버스 1, 131, 141, 20, 5-1, 62, 63 수영사적공원 하차
주차 수영사적공원 공영주차장(무료)",,,,,,,,
,79,051-718-0200,,"토?일요일, 공휴일",,월~금 09:00~18:00,,,"도시철도 1호선 중앙역 11번 출구 도보 8분
버스 186, 86 새들맨션 하차 도보 6분",,,,,,,,
,80,051-209-2000,http://wetland.busan.go.kr,연중무휴,"공통 : 장애인 화장실, 장애인 주차구역, 휠체어접근 가능
을숙도문화회관, 현대미술관, 낙동강하구에코센터 : 점자블록, 엘리베이터, 휠체어대여 가능","매일
을숙도생태공원 야간출입 제한(20:00~익일 08:00)",,,"도시철도 1호선 하단역 3번 출구 → 3, 55, 58, 58-2, 168, 520, 1005, 2000, 58-1, 221 버스 환승 을숙도(문화회관) 하차 도보 10분
버스 3, 55, 58, 58-2, 168, 520, 1005, 2000, 58-1, 221 을숙도(문화회관) 하차 도보 10분
주차 을숙도 공영주차장",,,,,,,,
,81,051-749-9500,https://kcmf.or.kr/comc/busan/,"일요일, 공휴일","장애인 주차구역, 엘리베이터, 휠체어접근 가능, 장애인방송제작실, 휠체어 무료대여, 화면해설 제공, 배리어프리영상제작실",평일 10:00~22:00(토요일18:00까지),,,"도시철도 2호선 센텀시티역 4번 출구 도보 7분
버스 115, 181, 307, 해운대구3-1, 해운대구3-2 시청자미디어센터 하차
주차 부산시청자미디어센터 주차장",,,,,,,,
,82,051-309-4805~6,https://www.bsbukgu.go.kr/index.bsbukgu?menuCd=DOM_000000103001004001&cpath=,"매주 일요일, 법정공휴일","엘리베이터, 휠체어접근 가능","평일 10:00~18:00(단체체험관람)
주말(토요일) 10:00~13:00(개별자유관람)",,,"도시철도 2호선 구명역 2번 출구 도보 5분
버스 124, 128-1, 169, 169-1 구남시장 하차 도보 7분
주차 구포어린이교통공원 주차장",,,,,,,,
,83,051-330-4000,http://www.lawnorder.go.kr/solomonbs/,"1월 1일, 명절연휴","장애인 주차구역, 장애인 화장실, 점자블록, 엘리베이터, 휠체어접근 가능","월~일
실내체험관 10:00~17:30 / 야외놀이터 09:00~21:00",,,"도시철도 2호선 구명역 2번 출구 도보 15분
버스 169-1 부산솔로몬로파크 하차
주차 부산솔로몬로파크 주차장",,,,,,,,
